55c5b31c,Resolving eureka endpoints via configuration,11381,0
2047a602,Saving an access object with UUID <*> from service <*> from creator user <*>,644,0
15dbd01f,"Access object <*> <*> <*> login=supervisor, readable=true, <*> executable=false, removable=false) already exist in DB",337,0
7f4cc593,Closing <*> startup date <*> <*> <*> <*> GMT 2018]; parent: <*>,265,0
51a369b5,Unregistering application <*> with eureka with status DOWN,80,0
b7d629f5,Saw local status change event StatusChangeEvent <*> <*> <*>,126,0
62f09a7c,Stopping beans in phase <*>,407,0
dc8c31b9,<*> registering service...,137,0
63cbd335,Failed to stop bean 'inputBindingLifecycle',9,0
35f97738,registration status: 204,118,0
1ebea740,"Restarting <*> <*> channel=Cached Rabbit Channel: <*> conn: <*> Shared Rabbit Connection: null, acknowledgeMode=AUTO local queue size=0",16,0
9b04a758,"Restarting <*> tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0",1767,0
d497a581,Refreshing <*> startup date <*> <*> <*> <*> GMT 2018]; root of context hierarchy,1962,0
7413643f,JSR-330 'javax.inject.Inject' annotation found and supported for autowiring,2161,0
4eac5fb4,Bean <*> of type <*> is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying),2570,0
990fd071,Fetching config from server at : <*>,978,0
94a6ed1e,"Located environment: <*> profiles=[default], label=null, version=null, state=null",790,0
8d934cbd,"Located property source: CompositePropertySource {name='configService', propertySources=[MapPropertySource <*> MapPropertySource {name='git@git.one.nextbi.ru:config-repository-dev/application.yml'}]}",230,0
44bf45f7,"No active profile set, falling back to default profiles: default",167,0
5cb89fdf,Refreshing <*> startup date <*> <*> <*> <*> GMT 2018]; parent: <*>,392,0
e6f1d0c1,"No bean named <*> has been explicitly defined. Therefore, a default <*> will be created.",477,0
b1f8f7d6,"Multiple Spring Data modules found, entering strict repository configuration mode!",316,0
28300212,Overriding bean definition for bean <*> with a different definition: replacing [Root bean: class [null]; scope=refresh; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=false; primary=false; <*> <*> initMethodName=null; destroyMethodName=(inferred); defined in class path resource <*> with [Root bean: class [org.springframework.aop.scope.ScopedProxyFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; <*> factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in BeanDefinition defined in class path resource <*>,223,0
019d3075,BeanFactory <*>,165,0
f567da1f,Tomcat initialized with port(s): <*> (http),161,0
bf924e10,Initializing ProtocolHandler <*>,161,0
b5684193,Starting service [Tomcat],161,0
ae74bb7f,Starting Servlet Engine: Apache <*>,161,0
0f2ae473,The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/usr/lib/jvm/java-1.8-openjdk/jre/lib/amd64/server:/usr/lib/jvm/java-1.8-openjdk/jre/lib/amd64:/usr/lib/jvm/java-1.8-openjdk/jre/../lib/amd64:/usr/java/packages/lib/amd64:/usr/lib64:/lib64:/lib:/usr/lib],161,0
096b6230,Initializing Spring <*> <*>,216,0
48a09885,Root WebApplicationContext: initialization completed in <*> ms,161,0
6ff5f53c,No URLs will be polled as dynamic configuration sources.,253,0
99fc3fcb,"To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.",253,0
4ec0b86c,DynamicPropertyFactory is initialized with configuration sources: <*>,152,0
38a4800d,Initializing ExecutorService <*>,471,0
49b33cd1,Mapping filter: <*> to: [/*],1270,0
88e9f117,Servlet <*> mapped to <*>,223,0
8c6ce9f8,Starting...,163,0
5ceb27dd,Start completed.,153,0
d7a794cf,Building JPA container EntityManagerFactory for persistence unit 'default',150,0
cade56ba,HHH000204: Processing PersistenceUnitInfo [,150,0
c2fd1817,HHH000412: Hibernate Core {5.2.17.Final},150,0
253e5470,HHH000206: hibernate.properties not found,150,0
4530b3b9,HCANN000001: Hibernate Commons Annotations {5.0.1.Final},150,0
24f63b87,HHH000400: Using dialect: <*>,249,0
7fa41a11,HHH000421: Disabling contextual LOB creation as hibernate.jdbc.lob.non_contextual_creation is true,150,0
9cec4d51,HHH000270: Type registration [java.util.UUID] overrides previous : <*>,150,0
eb29ac6d,Initialized JPA EntityManagerFactory for persistence unit 'default',149,0
3ef3e437,HHH000397: Using ASTQueryTranslatorFactory,131,0
3af8d46e,"spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning",115,0
4c384bad,Mapped <*> onto public <*> <*> throws <*>,2142,0
c3bcf5f7,Mapped <*> onto public <*> <*>,1363,0
